Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,day,month,year
25/03/2020,"9 SLADE CASTLE WALK, SAGGART, CO DUBLIN",Dublin 24,Dublin,227000.00,No,No,Second-Hand Dwelling house /Apartment,,25,03,2020
23/11/2020,"119 GRANGE ABBEY GROVE, DONAGHMEDE, DUBLIN 13",Dublin 13,Dublin,320000.00,No,No,Second-Hand Dwelling house /Apartment,,23,11,2020
10/04/2017,"SUN E DAZE, BLACKBOG RD, CARLOW",,Carlow,330000.00,No,No,Second-Hand Dwelling house /Apartment,,10,04,2017
27/11/2017,"HIGHFIELD, DRYNAN, SWORDS",,Dublin,900000.00,No,No,Second-Hand Dwelling house /Apartment,,27,11,2017
04/11/2020,"FAIRY HILL, COLEVILLE RD, CLONMEL",,Tipperary,540000.00,No,No,Second-Hand Dwelling house /Apartment,,04,11,2020
18/05/2021,"GRAIGUEAVALLAGH, ERRILL, PORTLAOISE",,Laois,90000.00,No,No,Second-Hand Dwelling house /Apartment,,18,05,2021
30/07/2021,"30 WALTHAM ABBEY, OLD QUARTER, BALLINCOLLIG",,Cork,455000.00,No,No,Second-Hand Dwelling house /Apartment,,30,07,2021
25/05/2012,"The Anchorage, Clash  Ballinacourty, Dungarvan",,Waterford,400000.00,No,No,Second-Hand Dwelling house /Apartment,,25,05,2012
27/10/2017,"14 ROYAL EXCHANGE, PARLIAMENT STREET, DUBLIN 2",,Dublin,240000.00,No,No,Second-Hand Dwelling house /Apartment,,27,10,2017
15/09/2020,"1 THE COURT, SEATOWN PARK, SWORDS",,Dublin,320000.00,No,No,Second-Hand Dwelling house /Apartment,,15,09,2020
11/10/2021,"38 GRANGEBROOK AVE, RATHFARNHAM, DUBLIN 16",Dublin 16,Dublin,580000.00,No,No,Second-Hand Dwelling house /Apartment,,11,10,2021
21/08/2015,"GREENHILL RD, WICKLOW, WICKLOW",,Wicklow,675000.00,No,No,Second-Hand Dwelling house /Apartment,,21,08,2015
26/04/2019,"13 MAIESTON, SANTRY CROSS, BALLYMUN DUBLIN 11",Dublin 11,Dublin,160000.00,No,No,Second-Hand Dwelling house /Apartment,,26,04,2019
05/01/2016,"35 POLEBERRY, WATERFORD, WATERFORD",,Waterford,62000.00,No,No,Second-Hand Dwelling house /Apartment,,05,01,2016
30/07/2021,"38 SOUTH DOCK ST, DUBLIN 4, DUBLIN",Dublin 4,Dublin,460000.00,No,No,Second-Hand Dwelling house /Apartment,,30,07,2021
