Address,County,Price (€),Not Full Market Price,Description of Property,day,month,year,Years since purchase
"9 SLADE CASTLE WALK, SAGGART, CO DUBLIN",Dublin,227000.0,No,Second-Hand Dwelling house /Apartment,25,3,2020,2
"119 GRANGE ABBEY GROVE, DONAGHMEDE, DUBLIN 13",Dublin,320000.0,No,Second-Hand Dwelling house /Apartment,23,11,2020,2
"SUN E DAZE, BLACKBOG RD, CARLOW",Carlow,330000.0,No,Second-Hand Dwelling house /Apartment,10,4,2017,5
"HIGHFIELD, DRYNAN, SWORDS",Dublin,900000.0,No,Second-Hand Dwelling house /Apartment,27,11,2017,5
"FAIRY HILL, COLEVILLE RD, CLONMEL",Tipperary,540000.0,No,Second-Hand Dwelling house /Apartment,4,11,2020,2
"GRAIGUEAVALLAGH, ERRILL, PORTLAOISE",Laois,90000.0,No,Second-Hand Dwelling house /Apartment,18,5,2021,1
"30 WALTHAM ABBEY, OLD QUARTER, BALLINCOLLIG",Cork,455000.0,No,Second-Hand Dwelling house /Apartment,30,7,2021,1
"The Anchorage, Clash  Ballinacourty, Dungarvan",Waterford,400000.0,No,Second-Hand Dwelling house /Apartment,25,5,2012,10
"14 ROYAL EXCHANGE, PARLIAMENT STREET, DUBLIN 2",Dublin,240000.0,No,Second-Hand Dwelling house /Apartment,27,10,2017,5
"1 THE COURT, SEATOWN PARK, SWORDS",Dublin,320000.0,No,Second-Hand Dwelling house /Apartment,15,9,2020,2
"38 GRANGEBROOK AVE, RATHFARNHAM, DUBLIN 16",Dublin,580000.0,No,Second-Hand Dwelling house /Apartment,11,10,2021,1
"GREENHILL RD, WICKLOW, WICKLOW",Wicklow,675000.0,No,Second-Hand Dwelling house /Apartment,21,8,2015,7
"13 MAIESTON, SANTRY CROSS, BALLYMUN DUBLIN 11",Dublin,160000.0,No,Second-Hand Dwelling house /Apartment,26,4,2019,3
"35 POLEBERRY, WATERFORD, WATERFORD",Waterford,62000.0,No,Second-Hand Dwelling house /Apartment,5,1,2016,6
"38 SOUTH DOCK ST, DUBLIN 4, DUBLIN",Dublin,460000.0,No,Second-Hand Dwelling house /Apartment,30,7,2021,1
"MUINGAPHUCA, CARAGH LAKE, KILLORGLIN",Kerry,140000.0,No,Second-Hand Dwelling house /Apartment,10,7,2012,10
"LUNDERSTOWN, DULEEK, CO MEATH",Meath,310000.0,No,Second-Hand Dwelling house /Apartment,29,11,2016,6
"4 ST BRIGIDS TERRACE, KELLS, MEATH",Meath,95000.0,No,Second-Hand Dwelling house /Apartment,27,3,2019,3
"Apartment 10, Dromartin Castle, Birches Lane",Dublin,292500.0,No,Second-Hand Dwelling house /Apartment,10,12,2014,8
"ROSAVEEL, CHURCH RD, CROSSHAVEN",Cork,308000.0,No,Second-Hand Dwelling house /Apartment,18,7,2018,4
"46 THE PINES, CASTLEKNOCK, DUBLIN 15",Dublin,872000.0,No,Second-Hand Dwelling house /Apartment,27,7,2017,5
"APT 32, QUAY VILLAGE, WESTPORT",Mayo,97000.0,No,Second-Hand Dwelling house /Apartment,7,11,2016,6
"APT 6 PARK HOUSE, ARDILAUN COURT, PATRICK ST",Dublin,222500.0,No,Second-Hand Dwelling house /Apartment,29,4,2021,1
"UNIT 83 GLASAN STUDENT VILLAGE, BALLYBANE ROAD, MERVUE",Galway,126000.0,No,Second-Hand Dwelling house /Apartment,22,12,2016,6
"KILLARD, PUCKANE, NENAGH",Tipperary,212500.0,No,Second-Hand Dwelling house /Apartment,28,10,2016,6
