Address,County,Price (€),Not Full Market Price,Description of Property,day,month,year,Years since purchase,Inflation adjusted price,Market value increase adjusted price,Estimated profit of house since purchase
"9 SLADE CASTLE WALK, SAGGART, CO DUBLIN",Dublin,227000.0,No,Second-Hand Dwelling house /Apartment,25,3,2020,2,233861.07499999992,243168.07499999998,9307.000000000058
"119 GRANGE ABBEY GROVE, DONAGHMEDE, DUBLIN 13",Dublin,320000.0,No,Second-Hand Dwelling house /Apartment,23,11,2020,2,329671.9999999999,342791.99999999994,13120.000000000058
"SUN E DAZE, BLACKBOG RD, CARLOW",Carlow,330000.0,No,Second-Hand Dwelling house /Apartment,10,4,2017,5,355503.7212818436,391936.4808634686,36432.759581624996
"HIGHFIELD, DRYNAN, SWORDS",Dublin,900000.0,No,Second-Hand Dwelling house /Apartment,27,11,2017,5,969555.6034959371,1068917.675082187,99362.07158624986
"FAIRY HILL, COLEVILLE RD, CLONMEL",Tipperary,540000.0,No,Second-Hand Dwelling house /Apartment,4,11,2020,2,556321.4999999999,578461.4999999999,22140.0
"GRAIGUEAVALLAGH, ERRILL, PORTLAOISE",Laois,90000.0,No,Second-Hand Dwelling house /Apartment,18,5,2021,1,91349.99999999999,93150.0,1800.0000000000146
"30 WALTHAM ABBEY, OLD QUARTER, BALLINCOLLIG",Cork,455000.0,No,Second-Hand Dwelling house /Apartment,30,7,2021,1,461824.99999999994,470924.99999999994,9100.0
"The Anchorage, Clash  Ballinacourty, Dungarvan",Waterford,400000.0,No,Second-Hand Dwelling house /Apartment,25,5,2012,10,464216.3300100596,564239.5042484484,100023.17423838883
"14 ROYAL EXCHANGE, PARLIAMENT STREET, DUBLIN 2",Dublin,240000.0,No,Second-Hand Dwelling house /Apartment,27,10,2017,5,258548.16093224988,285044.7133552499,26496.552423000016
"1 THE COURT, SEATOWN PARK, SWORDS",Dublin,320000.0,No,Second-Hand Dwelling house /Apartment,15,9,2020,2,329671.9999999999,342791.99999999994,13120.000000000058
"38 GRANGEBROOK AVE, RATHFARNHAM, DUBLIN 16",Dublin,580000.0,No,Second-Hand Dwelling house /Apartment,11,10,2021,1,588700.0,600300.0,11600.0
"GREENHILL RD, WICKLOW, WICKLOW",Wicklow,675000.0,No,Second-Hand Dwelling house /Apartment,21,8,2015,7,749145.3162087012,858788.5023674367,109643.18615873542
"13 MAIESTON, SANTRY CROSS, BALLYMUN DUBLIN 11",Dublin,160000.0,No,Second-Hand Dwelling house /Apartment,26,4,2019,3,167308.53999999995,177394.85999999996,10086.320000000007
"35 POLEBERRY, WATERFORD, WATERFORD",Waterford,62000.0,No,Second-Hand Dwelling house /Apartment,5,1,2016,6,67793.48236444367,76213.83023335993,8420.347868916258
"38 SOUTH DOCK ST, DUBLIN 4, DUBLIN",Dublin,460000.0,No,Second-Hand Dwelling house /Apartment,30,7,2021,1,466899.99999999994,476099.99999999994,9200.0
"MUINGAPHUCA, CARAGH LAKE, KILLORGLIN",Kerry,140000.0,No,Second-Hand Dwelling house /Apartment,10,7,2012,10,162475.71550352086,197483.82648695694,35008.11098343608
"LUNDERSTOWN, DULEEK, CO MEATH",Meath,310000.0,No,Second-Hand Dwelling house /Apartment,29,11,2016,6,338967.4118222184,381069.15116679965,42101.73934458126
